time;elev_torq;ail_torq;Pitch;Aileron;Elevator;Rudder;ErrorRud;ErrSumRud;out_I;out_P;out_D;torq_main_rotor;torq_tail_rotor;force_tail;Piro_rate;tail_limt;tail_angle;Pcomp;
1.803602;0;0;0.4861194;0;0;0.1277913;0.2394501;-0.0001617382;-0.009704293;0.0119725;-0.0003199577;33.20501;35.40454;47.43572;1.209561;0.001948254;10.06819;0;
1.820302;0;0;0.4861194;0;0;0.1277913;0.1190872;3.713745E-05;0.002228247;0.005954361;-0.002882943;33.19333;35.96825;47.41905;1.329924;0.005299665;10.18549;0;
1.837002;0;0;0.5007744;0;0;0.09848569;-0.2200005;-0.0003302634;-0.0198158;-0.01100003;-0.008121861;33.95853;30.98577;48.51218;1.483269;-0.03893769;8.63718;0.1465505;
1.853702;0;0;0.5007744;0;0;0.09848569;-0.1806947;-0.0006320236;-0.03792141;-0.009034735;0.0009414564;33.90285;30.25827;48.43264;1.297413;-0.04601469;8.389485;0;
1.870402;0;1;0.5154295;0;0;0.08898892;0.08216298;-0.0004948114;-0.02968868;0.004108149;0.006295992;34.66343;33.43347;49.51918;1.073423;-0.01928454;9.325041;0.1465505;
1.887102;1;0;0.5154295;0;0.00190635;0.0796248;-0.09026259;-0.0006455499;-0.03873299;-0.00451313;-0.004129954;34.58709;30.2619;49.41012;0.9931194;-0.04737608;8.341837;0;
1.903802;0;0;0.5154295;0;0.00190635;0.0796248;0.1715754;-0.000359019;-0.02154114;0.008578769;0.006271568;34.51786;35.04411;49.31124;0.7312815;-0.006690804;9.765821;0;
1.920502;7;0;0.5154295;0;0.0172763;0.07039167;0.04140127;-0.0002898789;-0.01739274;0.002070063;-0.003117942;34.44805;33.76674;49.2115;0.7567621;-0.01844062;9.354578;0;
1.937202;12;0;0.5154295;0;0.03264625;0.07039167;0.08709025;-0.0001444382;-0.008666292;0.004354513;0.001094347;34.38431;35.60831;49.12044;0.7110731;-0.003217432;9.88739;0;
1.953902;9;0;0.5154295;0;0.03264625;0.07039167;0.0203566;-0.0001104427;-0.006626561;0.00101783;-0.001598411;34.32262;35.22912;49.03231;0.7778068;-0.007207142;9.74775;0;
1.970603;14;0;0.4861194;0;0.04801621;0.0796248;-0.2155527;-0.0004704157;-0.02822494;-0.01077763;-0.005650522;32.67213;30.97901;46.67447;0.8253084;-0.0446531;8.437141;-0.2931011;
