Power_pitch;Power_cyclic;Power_tail;Power_0;Power_oversp;
95;15;-39;1265;2865;
62;111;6;1471;1866;
35;239;50;1545;1072;
4;96;-163;1559;132;
-2;0;-79;1516;76;
-1;913;112;1458;31;
0;38;99;1396;15;
0;972;-147;1340;1;
0;413;-93;1295;8;
0;393;32;1236;17;
0;240;18;1199;23;
1;342;-5;1152;35;
1;271;-1;1122;40;
26;139;86;1082;0;
121;48;-22;1055;0;
301;53;34;1017;0;
320;42;45;991;0;
449;45;-14;951;0;
635;83;-10;923;0;
1130;26;-11;876;0;
1223;0;72;844;0;
1145;6;-15;795;0;
888;5;317;766;0;
107;25;38;726;0;
-6;47;4;725;200;
0;4;167;717;0;
0;18;63;703;0;
0;81;95;691;0;
23;22;16;689;0;
85;13;86;690;0;
122;32;111;690;0;
181;18;96;691;0;
271;28;119;690;0;
350;7;95;690;0;
469;32;65;688;0;
664;1;187;688;0;
790;0;215;688;0;
1154;0;225;685;0;
1217;4;206;683;0;
1411;0;224;682;0;
1531;0;258;681;0;
1542;0;254;680;0;
1520;1;248;680;0;
1494;24;245;680;0;
1475;181;243;679;0;
1685;19;305;678;0;
1650;1;275;676;0;
1604;0;256;673;0;
1580;0;253;672;0;
1550;0;252;671;0;
1534;0;249;671;0;
1515;0;248;671;0;
1503;428;246;671;0;
1459;300;242;665;0;
1424;95;238;663;0;
1384;180;233;665;0;
1372;241;231;666;0;
1371;19;231;667;0;
1377;0;232;670;0;
1387;20;233;673;0;
1395;10;234;675;0;
1410;1;235;678;0;
1420;0;236;679;0;
1437;12;238;681;0;
1452;9;240;682;0;
1475;0;242;683;0;
1487;6;244;683;0;
1497;0;245;683;0;
1503;1619;245;683;0;
1528;44;250;668;0;
1546;7;252;668;0;
1564;0;253;667;0;
1572;3;254;667;0;
1586;3;256;666;0;
1595;21;257;665;0;
1610;18;259;664;0;
1620;2;260;663;0;
1630;0;262;661;0;
1633;7;262;660;0;
1626;174;261;657;0;
1606;234;258;655;0;
1559;353;253;649;0;
1526;345;250;646;0;
1486;432;246;641;0;
1469;0;244;637;0;
1465;123;252;640;0;
1469;163;242;640;0;
1496;132;251;640;0;
1529;66;250;640;0;
1582;12;259;641;0;
1611;28;261;641;0;
1651;57;294;640;0;
1677;112;334;637;0;
1718;0;305;634;0;
1731;3;295;632;0;
1739;119;279;629;0;
